Function,Algorithm,AvgRestart,StdRestart,MaxRestart,MinRestart
CEC2017-F1,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F1,ARPSO-v4,74.0,0.0,74,74
CEC2017-F1,CLPSO,0.0,0.0,0,0
CEC2017-F1,DE,0.0,0.0,0,0
CEC2017-F1,GA,0.0,0.0,0,0
CEC2017-F1,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F1,PSO,0.0,0.0,0,0
CEC2017-F1,PSO-AW,0.0,0.0,0,0
CEC2017-F1,PSO-RS,3.7666666666666666,1.9061304607327727,8,1
CEC2017-F10,ARPSO-EIS,38.1,19.575406808649927,68,1
CEC2017-F10,ARPSO-v4,30.73333333333333,14.887933863120285,55,1
CEC2017-F10,CLPSO,0.0,0.0,0,0
CEC2017-F10,DE,0.0,0.0,0,0
CEC2017-F10,GA,0.0,0.0,0,0
CEC2017-F10,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F10,PSO,0.0,0.0,0,0
CEC2017-F10,PSO-AW,0.0,0.0,0,0
CEC2017-F10,PSO-RS,8.833333333333334,4.235183775138383,20,2
CEC2017-F11,ARPSO-EIS,57.93333333333333,27.00693823156705,74,0
CEC2017-F11,ARPSO-v4,70.06666666666666,7.79890944336111,74,38
CEC2017-F11,CLPSO,0.0,0.0,0,0
CEC2017-F11,DE,0.0,0.0,0,0
CEC2017-F11,GA,0.0,0.0,0,0
CEC2017-F11,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F11,PSO,0.0,0.0,0,0
CEC2017-F11,PSO-AW,0.0,0.0,0,0
CEC2017-F11,PSO-RS,8.733333333333333,4.494696747342885,21,2
CEC2017-F12,ARPSO-EIS,74.0,0.0,74,74
CEC2017-F12,ARPSO-v4,74.0,0.0,74,74
CEC2017-F12,CLPSO,0.0,0.0,0,0
CEC2017-F12,DE,0.0,0.0,0,0
CEC2017-F12,GA,0.0,0.0,0,0
CEC2017-F12,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F12,PSO,0.0,0.0,0,0
CEC2017-F12,PSO-AW,0.0,0.0,0,0
CEC2017-F12,PSO-RS,9.9,4.428356899300937,20,3
CEC2017-F13,ARPSO-EIS,73.6,2.1908902300206634,74,62
CEC2017-F13,ARPSO-v4,74.0,0.0,74,74
CEC2017-F13,CLPSO,0.0,0.0,0,0
CEC2017-F13,DE,0.0,0.0,0,0
CEC2017-F13,GA,0.0,0.0,0,0
CEC2017-F13,HPSO-TVAC,0.0,0.0,0,0
CEC2017-F13,PSO,0.0,0.0,0,0
CEC2017-F13,PSO-AW,0.0,0.0,0,0
CEC2017-F13,PSO-RS,6.366666666666666,4.8243872816843965,25,1
CEC2017-F14,ARPSO-EIS,41.66666666666666,17.572182823866882,74,9
CEC2017-F14,ARPSO-v4,50.3,11.256109452204168,71,25
CEC2017-F14,CLPSO,0.0,0.0,0,0
CEC2017-F14,DE,0.0,0.0,0,0
CEC2017-F14,GA,0.0,0.0,0,0
